name,image,rating,phone,address,languages,specialties,pricing,payment_methods,equipement_et_service,couvert_max,nombre_salle,nombre_salle_clim,couvert_terrasse,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Une Marguerite à Table,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/31a/26-20-9245722-335x335.webp,0.0,06 60 33 50 91,"18ter, Rue Pétramale","IT, FR","fait maison, méditerranéenne, italienne","15 €,45 €","Chèque,Espèces,Titre Restaurant,American Express,Carte bancaire/crédit","Chaise bébé,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Traiteur",18,1,0,30,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
L’Epicerie de Ginette,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ca5/213-13-5049813-335x335.webp,9.1,04 90 15 78 64,"25-27, place des Corps Saints","EN, ES, FR, IT","Spécialités fromagères, française, bio, provençale, fait maison, saladerie, végétariens","5,90 €,14,30 €,12,40 €","American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Titre Restaurant","Terrasse,Climatisation,Salle de réception,Parking,Parking payant,Parking à proximité,Terrasse ombragée,Animaux acceptés,Restauration,Banquet,Restauration rapide,Plats à emporter/Plats cuisinés,Salon de thé / Coffee shop",60,0,0,50,11h - 23h30,11h - 23h30,11h - 23h30,11h - 23h30,11h - 23h30,11h - 23h30,11h - 23h30
Kouk – cantine de quartier,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b27/111-7-27199343-335x335.webp,0.0,06 35 39 62 09,1 rue henri fabre,FR,fait maison,,"Carte bancaire/crédit,Chèque,Titre Restaurant,Apple Pay","Climatisation,Chaise bébé,Table à langer,Animaux acceptés",24,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé,Fermé
Italie là-bas,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/842/105-101-3171689-335x335.webp,9.2,04 86 81 62 27,"23, Rue de la Bancasse","IT, EN, FR","gastronomique, méditerranéenne, Cuisine végétarienne, bio, italienne, sans gluten, végétalienne, fait maison, végétariens","40 €,25 €","Chèque,Espèces,Carte bancaire/crédit","Terrasse ombragée,Terrasse,Animaux acceptés,Accès Internet Wifi",40,2,0,30,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Le Lapin Blanc,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e4e/198-145-22712774-335x335.webp,0.0,04 90 01 71 70,101 Rue de la Bonneterie,"EN, FR",fait maison,,"Titre Restaurant,American Express,Carte bancaire/crédit","Terrasse,Animaux acceptés",0,0,0,0,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Le Violette – Collection Lambert,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/997/88-86-3823192-335x335.webp,9.5,04 90 85 36 42,5 rue Violette,"IT, EN, ES, FR","sans lactose, Cuisine végétarienne, végétalienne, fait maison, sans gluten, orientale, poisson, végétariens",,"Chèque,Espèces,Titre Restaurant,Carte bancaire/crédit","Chaise bébé,Terrasse ombragée,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Banquet,Plats à emporter/Plats cuisinés,Restauration enfants,Traiteur",40,2,2,200,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Le Petit Grand,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/da9/125-155-10066813-335x335.webp,0.0,04 65 87 90 96,"72, place des Corps Saints","EN, ES, FR","bio, végétalienne, fait maison, sans gluten, méditerranéenne, française","19 €,11 €","Chèque,Espèces,Titre Restaurant,American Express,Carte bancaire/crédit","Terrasse ombragée,Bar,Terrasse,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés",75,0,0,80,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Pokawa,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/a4d/0-116-12219392-335x335.webp,0.0,04 65 87 29 59,7 rue Saint Jean Le Vieux –  Place Pie,"EN, ES, FR","bio, halal, sans gluten, végétalienne, végétariens","7,90 €,18,90 €","American Express,Carte bancaire/crédit,Titre Restaurant,Union Pay","Terrasse,Climatisation,Accès Internet Wifi,Restauration,Restauration enfants",16,0,0,80,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Brasserie du Conservatoire et Bar à vins,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d60/197-142-3378885-335x335.webp,7.5,04 90 86 86 42,"17/19, rue Saint-Jean le Vieux –  Place Pie","IT, DE, EN, ES, FR","fait maison, méditerranéenne","12 €,20 €,19 €,30 €","Espèces,Titre Restaurant,Carte bancaire/crédit,Chèque-Vacances Classic","Chaise bébé,Terrasse couverte,Terrasse ombragée,Terrasse,Climatisation,Accès Internet Wifi,Restauration,Restauration enfants,Salon de thé / Coffee shop",70,2,2,130,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Grand Café Barretta / Restaurant et Bar à Vin,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d4c/8-70-8603144-335x335.webp,6.0,04 90 01 58 18,14 Place Saint Didier,"EN, FR","fait maison, végétariens","10 €,30 €,14 €","Chèque,Espèces,Titre Restaurant,Carte bancaire/crédit","Chaise bébé,Terrasse ombragée,Terrasse,Salle de réception,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Salon de thé / Coffee shop",140,0,0,140,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Estaminet Arômes et Tentations,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/72e/83-77-3231059-335x335.webp,9.2,04 90 83 46 74,"8, RUE MAZAN","EN, ES, FR","poisson, française, provençale, sans gluten, fait maison","14 €,26 €,19 €","Carte bancaire/crédit,Espèces,Titre Restaurant","Terrasse,Climatisation,Parking à proximité,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Privatisable",20,1,0,20,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
Best Western Plus Le Lavarin – Restaurant,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/7be/85-41-21440853-335x335.webp,8.3,04 90 89 50 60,"1715, chemin du Lavarin","EN, ES, FR",Non spécifié,"8 €,29 €","Titre Restaurant,Carte bancaire/crédit,Chèque-Vacances Classic","Jardin,Parc,Piscine,Chaise bébé,Parking gratuit,Parking,Terrasse,Climatisation,Restaurant climatisé,Animaux acceptés,Accès Internet Wifi,Accès internet Wifi gratuit",40,2,2,25,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant / Cocktail Bar   Le Bercail,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e53/189-228-3269821-335x335.webp,8.4,04 90 82 20 22,"162, Chemin des Canotiers","EN, ES, FR","poisson, méditerranéenne, française, provençale, sans gluten, végétalienne, fait maison, végétariens","15 €,45 €","Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Titre Restaurant","Aire de jeux,Bar,Terrasse,Salle de réception,Parking,Parking autocar,Parking privé,Chaise bébé,Terrasse ombragée,Parking gratuit,Table à langer,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants",80,6,0,300,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Le 17 Place aux Vins Avignon • Bar à vin / Caviste,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/498/96-232-20965472-335x335.webp,0.0,04 65 81 02 18,74 Place des Corps Saints,"EN, ES, FR",fait maison,"6 €,20 €","Carte bancaire/crédit,Chèque,Espèces,Titre Restaurant","Bar,Terrain ombragé,Restaurant,Animaux acceptés,Accès Internet Wifi",60,0,0,80,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Acte 2,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c47/24-243-25948952-335x335.webp,0.0,09 53 99 36 88,3B rue de la Petite Calade,"EN, FR, IT","gastronomique, fait maison",69 €,"Carte bancaire/crédit,Espèces","Climatisation,Chaise bébé,Animaux acceptés",16,0,0,0,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Naka,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/26e/113-139-5802865-335x335.webp,9.4,04 90 82 15 70,"4, Place de la Principale","EN, FR, ZH","Cuisine asiatique, Cuisine végétarienne, Cuisine japonaise, sans gluten, fait maison, végétariens","13,90 €,28 €,9,90 €","American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Terrasse,Climatisation,Chaise bébé,Animaux acceptés,Animaux avec supplément,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés",65,1,1,70,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Le Carré du Palais,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ab4/92-37-23078236-335x335.webp,9.2,04 65 00 01 01,1 Place du Palais,"EN, FR","végétalienne, fait maison, sans gluten, méditerranéenne, poisson, française, provençale, végétariens",,"Chèque,Espèces,Titre Restaurant,American Express,Carte bancaire/crédit,Chèque-Vacances Classic","Chaise bébé,Parking à proximité,Parking,Parking payant,Terrasse ombragée,Bar,Terrasse,Ascenseur,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Banquet,Restauration enfants,Salon de thé / Coffee shop,Privatisable",120,2,2,150,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
L’Agape,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/dc1/254-25-3152382-335x335.webp,9.3,04 90 85 04 06,"21, place des Corps Saints","EN, FR","fait maison, méditerranéenne","20 €,37 €,35 €,80 €","Espèces,Carte bancaire/crédit","Parking,Parking payant,Terrasse,Climatisation,Animaux acceptés",45,2,2,45,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Restaurant Le Patio / Bar à vin – Novotel Avignon Centre,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/fde/185-153-15440313-335x335.webp,8.0,04 32 74 70 20,20 boulevard Saint Roch,"EN, ES, FR","fait maison, française, provençale","11 €,32 €,22 €,41 €,12 €","Espèces,Titre Restaurant,American Express,Carte bancaire/crédit,Chèque-Vacances Classic","Piscine,Chaise bébé,Borne de recharge pour 2 roues électriques,Parking gratuit,Parking privé,Parking,Bar,Terrasse,Salle de réception,Climatisation,Abris pour vélo ou VTT,Animaux acceptés,Accès Internet Wifi,Restauration,Banquet,Restauration enfants",150,0,0,100,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Savita Café Restaurant,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/330/132-194-27640452-335x335.webp,7.6,04 90 25 60 77,"62 Place des Corps Saints, 84000 Avignon, France","EN, FR","Cuisine végétarienne, fait maison","7,50 €,8 €","American Express,Carte bancaire/crédit,Titre Restaurant,Espèces,Chèque-Vacances Classic","Chaise bébé,Terrasse,Climatisation,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Salon de thé / Coffee shop",20,0,0,50,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant La Bodeguita,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/69a/142-19-27005838-335x335.webp,0.0,06 66 23 77 11,18 Boulevard Limbert,"ES, FR","fait maison, poisson, française, viande","25,90 €",,"Bar,Accès Internet Wifi",35,35,0,15,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Restaurant de l’Hôtel La Ferme,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/9ba/105-225-28762473-335x335.webp,8.7,04 90 82 57 53,110 chemin des Bois,"EN, FR","poisson, méditerranéenne, française, provençale, sans gluten, sans lactose, fait maison, végétariens",39 €,"American Express,Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces","Abris pour vélo ou VTT,Terrasse,Parking,Jardin,Piscine,Parking privé,Chaise bébé,Parking gratuit,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants",50,2,0,60,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
OISEAU,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/405/107-119-25655147-335x335.webp,0.0,06 70 42 76 82,5 Rue Cabassole,FR,"Cuisine végétarienne, sans gluten, sans lactose, végétalienne, fait maison",,"Carte bancaire/crédit,Paiement sans contact","Bar,Terrasse,Climatisation,Parking,Parking payant,Parking à proximité,Chaise bébé,Terrasse ombragée,Table à langer,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Privatisable",36,0,0,34,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé,Fermé
LE BISTRO’NOMIC,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/15a/138-25-23599498-335x335.webp,0.0,04 90 27 18 18,Sarl Coludis,"EN, ES, FR","bio, halal, fait maison, méditerranéenne, poisson, Fruits de mer, saladerie, viande","16 €,24 €,23,90 €,29,90 €,9,90 €","American Express,Carte bancaire/crédit,Titre Restaurant,Espèces,Chèque-Vacances Classic","Chaise bébé,Terrasse ombragée,Bar,Terrasse,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants",255,0,0,105,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Fourchette,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/8b0/245-12-3149045-335x335.webp,9.4,04 90 85 20 93,17 rue Racine,"EN, ES, FR","fait maison, sans gluten, française","15 €,24 €,42 €","Chèque,Espèces,Carte bancaire/crédit","Climatisation,Animaux acceptés,Restauration,Restauration enfants",50,1,1,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé,Fermé
Restaurant l’Entre-Deux – Hôtel Ibis Styles Avignon Sud,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b20/172-140-27036844-335x335.webp,8.3,04 90 87 62 36,"2968, Avenue de l'Amandier","EN, FR","française, Cuisine végétarienne, fait maison, viande",16 €,"American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant,Paiement sans contact,Apple Pay","Ascenseur,Bar,Terrasse,Climatisation,Boulodrome / Terrain de pétanque / Terrain de boule de fort,Parking,Défibrillateur,Equipements développement durable,Jardin,Piscine,Parking autocar,Parking privé,Gestion des déchets,Chaise bébé,Bornes de recharge pour véhicules électriques,Terrasse couverte,Terrasse ombragée,Parking gratuit,Table à langer,Animaux acceptés,Accès autocar,Accès Internet Wifi,Restauration,Restauration enfants",90,1,1,80,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Mirande – Le Bistrot “La Salle à Manger”,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/bfa/168-244-16118952-335x335.webp,8.9,04 90 14 20 20,"4, place de l'Amirande","EN, FR","bio, Cuisine végétarienne, végétalienne, sans gluten, française, provençale, végétariens","17 €,35 €","Chèque,Espèces,Titre Restaurant,American Express,Carte bancaire/crédit,Apple Pay,Paiement sans contact","Jardin,Chaise bébé,Terrasse,Salle de réception,Ascenseur,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Banquet",30,0,0,30,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
V&G Veggie et Gastro,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b2b/182-228-27649206-335x335.webp,9.5,04 90 27 37 97,28 rue de la bonneterie,"EN, ES, FR","gastronomique, Cuisine végétarienne, sans gluten, végétalienne","8 €,26 €,22 €",Carte bancaire/crédit,"Chaise bébé,Animaux acceptés,Accès Internet Wifi",40,2,0,10,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Hiély-Lucullus,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/737/75-59-26426187-335x335.webp,9.7,04 90 86 17 07,"5, rue de la République","EN, ES, FR",gastronomique,"105 €,55 €","American Express,Carte bancaire/crédit,Espèces","Parking souterrain,Parking à proximité,Parking,Parking payant,Climatisation,Réservation obligatoire,Restauration",10,1,1,0,09h00 - 23h00,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Mirande – La Table Haute,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/563/158-244-16118942-335x335.webp,8.9,04 90 14 20 20,4 Place de l'Amirande,"EN, FR","française, Cuisine végétarienne, bio, provençale, sans gluten, végétalienne, fait maison","120 €,150 €,50 €","American Express,Carte bancaire/crédit,Chèque,Espèces,Paiement sans contact,Apple Pay","Ascenseur,Climatisation,Accès Internet Wifi,Restauration,Banquet",12,0,0,0,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Le Molière,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/429/253-184-26654973-335x335.webp,9.4,04 32 76 31 79,"68, place des Corps Saints","EN, FR, IT","Spécialités fromagères, méditerranéenne, française, provençale, sans gluten, végétalienne, fait maison, saladerie, végétariens",9 €,"Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Terrasse,Parking,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Traiteur",20,1,1,40,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé,Fermé
LES TERRASSES DU ROUGE GORGE,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/42c/46-240-27455534-335x335.webp,0.0,04 86 34 27 27,"10 bis, Place de l'Amirande",FR,"française, saladerie",16 €,"Carte bancaire/crédit,Chèque,Paiement sans contact","Bar,Terrasse,Terrasse ombragée,Animaux acceptés,Location de salles,Accès Internet Wifi,Restauration,Restauration enfants,Privatisable",40,1,0,40,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
"Mamma Corsica – Restaurant,  Epicerie et bar à vin",https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/1c0/90-140-3181658-335x335.webp,9.1,06 52 32 12 13,"35, rue Saint-Jean le Vieux – Place Pignotte","EN, ZH, FR","bio, fait maison, sans gluten, méditerranéenne, française, Spécialités fromagères, provençale, Cuisine Corse, végétariens","8,50 €,19 €,9,90 €","Chèque,Espèces,Titre Restaurant,Carte bancaire/crédit,Chèque-Vacances Classic","Parking à proximité,Parking,Parking payant,Bar,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Traiteur",40,1,0,40,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Restaurant La Vieille Fontaine – Hôtel d’Europe,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/40a/92-127-21135196-335x335.webp,8.9,04 90 14 76 76,"12, place Crillon","IT, JA, EN, ES, FR","végétalienne, fait maison, sans gluten, végétariens","48 €,140 €,54 €,150 €,25 €","Espèces,American Express,Carte bancaire/crédit","Jardin,Chaise bébé,Parking autocar,Parking,Parking payant,Bar,Terrasse,Salle de réception,Climatisation,Abris pour vélo ou VTT,Animaux acceptés,Location de salles,Animaux avec supplément,Accès Internet Wifi,Restauration,Banquet,Restauration enfants,Salon de thé / Coffee shop",0,0,0,40,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
La Mirande – Le Restaurant Gastronomique,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/9e1/144-49-19411344-335x335.webp,8.9,04 90 14 20 20,4 place de l'Amirande,"EN, FR","Cuisine végétarienne, végétalienne, sans gluten, française, provençale, gastronomique, végétariens","85 €,195 €,50 €","Chèque,Espèces,American Express,Carte bancaire/crédit,Apple Pay,Paiement sans contact","Jardin,Chaise bébé,Terrasse,Salle de réception,Ascenseur,Climatisation,Animaux acceptés,Animaux avec supplément,Accès Internet Wifi,Restauration,Banquet",50,0,0,40,Fermé,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Pinocchio,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/21d/10-255-16842506-335x335.webp,8.6,04 90 82 60 90,29 rue Théodore Aubanel,"EN, ES, FR, IT","méditerranéenne, italienne, fait maison","9 €,19 €,12,50 €","American Express,Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Terrasse,Climatisation,Salle de réception,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés",60,0,0,80,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Basta Cosi,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/2a2/210-143-3182546-335x335.webp,9.0,+33 (0)4 90 80 00 80,"7, impasse du Pont","EN, FR","méditerranéenne, italienne",,"American Express,Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces,Titre Restaurant","Chaise bébé,Terrasse couverte,Parking,Terrasse ombragée,Terrasse,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés",55,1,0,70,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Les Terrasses du Lac – Restaurant du Golf du Grand Avignon,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/3e0/57-170-19180089-335x335.webp,0.0,+33(0)4 90 31 52 81,Chemin de la Banastière,"EN, ES, FR","fait maison, poisson, Fruits de mer, française, provençale, saladerie, viande, végétariens",,"American Express,Carte bancaire/crédit,Chèque","Abris pour vélo ou VTT,Terrasse,Climatisation,Salle de réception,Parking,Jardin,Parking autocar,Parking privé,Chaise bébé,Borne de recharge pour 2 roues électriques,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants,Traiteur,Salon de thé / Coffee shop",150,0,0,50,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Maison Del Cotto,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/158/247-58-13187831-335x335.webp,8.3,04 90 82 60 91,16-18 Rue des 3 Faucons,"EN, FR","fait maison, méditerranéenne, italienne","12 €,25 €","Carte bancaire/crédit,Espèces,Titre Restaurant","Terrasse,Animaux acceptés,Accès Internet Wifi",50,0,0,24,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
La Fontaine Dei-Sapori,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/000/82-136-19236946-335x335.webp,8.8,04 90 34 86 22,150 place Cerealis,"EN, FR, IT","méditerranéenne, française, italienne, provençale, fait maison, végétariens",,"American Express,Carte bancaire/crédit,Espèces,Carte Ticket Restaurant,Paiement sans contact","Terrasse,Climatisation,Parking,Parking privé,Chaise bébé,Parking gratuit,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants",0,0,0,0,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
L’Art Brock Café,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/177/43-77-27741483-335x335.webp,21.0,09 81 50 31 20,129 rue de la Frache,FR,Non spécifié,,"Carte bancaire/crédit,Chèque,Espèces,Virement,Paiement sans contact","Salon de jardin,Terrasse,Toilettes,Climatisation,Salle d'exposition,Salle de réunion,Terrasse ombragée,Animaux acceptés,Accès Internet Wifi,Espace coworking",25,2,0,40,Fermé,09h - 23h,09h - 23h,09h - 23h,09h - 23h,09h - 23h,09h - 12h30
Andjelo,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ee9/179-250-20183731-335x335.webp,9.6,09 87 77 08 08,510 Avenue de Grand Angles,"EN, FR, IT","française, Europe de l'Est, fait maison, végétariens",,"Carte bancaire/crédit,Espèces,Titre Restaurant,Paiement sans contact","Terrasse,Toilettes,Climatisation,Parking,Salle de réunion,Chaise bébé,Terrasse couverte,Parking gratuit,Animaux acceptés,Accès Internet Wifi,Documentation Touristique,Espace coworking",60,2,0,30,12h - 15h,12h - 15h,12h - 15h,12h - 15h,12h - 15h,12h - 15h,12h - 15h
Naturabsolu,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/4e7/191-141-3706303-335x335.webp,9.5,09 50 76 05 97,10 place Saint Marc,"EN, ES, FR, IT","Cuisine végétarienne, bio, sans gluten, sans lactose, végétalienne, fait maison",,"Chèque,Espèces","Terrasse,Terrasse ombragée,Animaux acceptés,Restauration,Plats à emporter/Plats cuisinés,Traiteur",14,1,0,16,09h00 - 23h00,09h00 - 23h00,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
Lili Rosa,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/7df/198-198-29607622-335x335.webp,21.0,+33(0)4 90 27 02 01,Centre Commercial Buld'Air,FR,Non spécifié,"22,90 €,11,90 €",,"Terrasse,Parking,Parking autocar,Terrasse ombragée,Parking gratuit,Accès Internet Wifi,Service continu,Privatisable,Accessible en poussette",164,4,4,96,11h30 - 21h30,11h30 - 21h30,11h30 - 21h30,11h30 - 21h30,11h30 - 22h30,11h30 - 22h30,Fermé
Maison Bronzini – Le Bistrot du Moulin,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/bc5/168-103-13920168-335x335.webp,8.8,04 90 25 45 59,74 rue de la République,"DE, EN, ES, FR","française, provençale, fait maison, végétariens","12 €,28 €,12 €","American Express,Carte bancaire/crédit,Chèque,Espèces","Bar,Terrasse,Climatisation,Salle de réception,Parking,Jardin,Parking à proximité,Parking autocar,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Banquet,Plats à emporter/Plats cuisinés,Restauration enfants,Brunch",250,4,4,250,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
